52.726,63.557,49.521,59.731
63.557,76.487,59.731,71.92
76.487,91.921,71.92,86.47
91.921,110.34,86.47,103.84
110.34,132.34,103.84,124.57
132.34,158.59,124.57,149.32
158.59,189.93,149.32,178.86
189.93,227.34,178.86,214.13
227.34,272.0,214.13,256.23
272.0,325.3,256.23,306.48
325.3,388.94,306.48,366.46
388.94,464.9,366.46,438.07
464.9,555.57,438.07,523.55
555.57,663.81,523.55,625.58
663.81,793.02,625.58,747.38
793.02,947.25,747.38,892.78
947.25,1131.4,892.78,1066.3
1131.4,1351.1,1066.3,1273.5
1351.1,1613.5,1273.5,1520.8
1613.5,1926.7,1520.8,1816.1
1926.7,2300.5,1816.1,2168.5
2300.5,2746.8,2168.5,2589.2
2746.8,3279.5,2589.2,3091.3
3279.5,3915.4,3091.3,3690.8
3915.4,4674.4,3690.8,4406.3
4674.4,5580.6,4406.3,5260.5
5580.6,6662.2,5260.5,6280.2
6662.2,7953.4,6280.2,7497.3
7953.4,9494.7,7497.3,8950.3
9494.7,11335.0,8950.3,10685.0
11335.0,13531.0,10685.0,12755.0
13531.0,16152.0,12755.0,15227.0
16152.0,19282.0,15227.0,18177.0
